descriptor,N,S,score
(((nA/(rB/rX))*np.log((rA/rB)))/np.exp((rX/rB))),313,0.7092,0.7414
(((nA/(rB/rX))*np.log((rA/rB)))/np.exp(((rA/rB)/(rA/rX)))),313,0.7092,0.7414
(((nA/(rB/rX))*np.log((rA/rB)))/np.exp(((rB/rX))**-1)),313,0.7092,0.7414
(np.log((nA*rB))*((nB/(rB/rX))*np.log((rA/rB)))),313,0.8582,0.7155
((((rA/rB)+(rA/rX))/(rA-rB))/((nA/rX)-(nX/rA))),313,0.9045,0.7155
(np.log((nA*(rA/rX)))*((nB/(rA/rB))*np.log((rB/rX)))),313,0.9454,0.7241
(np.log((nA*rB))*((nX/nA)*((rA/rB)-(rA/rX)))),313,0.9499,0.7155
(np.log((nA*rB))*((nX/nA)*np.abs((rA/rB)-(rA/rX)))),313,0.9499,0.7155
(np.exp(((rB/rX))**-1)/((nA/(rA/rX))-(nA/(rB/rX)))),313,0.9504,0.7845
(np.exp((rX/rB))/((nA/(rA/rX))-(nA/(rB/rX)))),313,0.9504,0.7845
(np.exp(((rA/rB)/(rA/rX)))/((nA/(rA/rX))-(nA/(rB/rX)))),313,0.9504,0.7845
((np.log(rX)/(nA*(rB/rX)))+(np.exp((rB/rX))/(nB*(rA/rB)))),313,0.9587,0.7500
(np.log((nA*(rB/rX)))*(np.log((rA/rB))/(rB)**3)),313,0.9755,0.6121
((np.log(rX)/(nA*(rB/rX)))+(np.exp((rA/rX))/(nB*(rA/rB)))),313,0.9759,0.7328
(((nA/rX)-(nX/rA))*((rA-rB)/((rA/rB)+(rA/rX)))),314,0.7421,0.7155
((np.log((rA/rB))*((rA/rB)+(rA/rX)))/(((rA/rB))**2/np.sqrt(nA))),314,0.7804,0.6897
(((rB+rX)*np.log((rA/rB)))*(np.sqrt(nA)/(rX*(rA/rB)))),314,0.7805,0.6897
((np.sqrt(nA)*np.log((rA/rB)))*((rB/rA)+((rB/rX)/(rA/rB)))),314,0.7806,0.6897
((np.sqrt(nA)*np.log((rA/rB)))*(((rB/rX)/(rA/rB))+((rB/rX)/(rA/rX)))),314,0.7807,0.6897
(((rB+rX)*((rB/rX)/rA))*(np.sqrt(nA)*np.log((rA/rB)))),314,0.7807,0.6897
